"Boost_Clock","Core_Speed","Manufacturer","Memory","Memory_Bus","Memory_Speed","Pixel_Rate","Process"
"1253 MHz ","1076 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","40 GPixel/s","28m"
"1228 MHz ","1051 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","39 GPixel/s","28m"
"1304 MHz ","1114 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","42 GPixel/s","28m"
"1367 MHz ","1178 MHz","Nvidia","2048 MB ","128 Bit ","1700 MHz","44 GPixel/s","28m"
"1279 MHz ","1102 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","41 GPixel/s","28m"
"1241 MHz ","1064 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","40 GPixel/s","28m"
"1405 MHz ","1203 MHz","Nvidia","2048 MB ","128 Bit ","1750 MHz","45 GPixel/s","28m"
"1355 MHz ","1165 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","43 GPixel/s","28m"
"1405 MHz ","1203 MHz","Nvidia","2048 MB ","128 Bit ","1683 MHz","45 GPixel/s","28m"
"1393 MHz ","1190 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","45 GPixel/s","28m"
"1279 MHz ","1102 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","41 GPixel/s","28m"
"1342 MHz ","1152 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","43 GPixel/s","28m"
"1355 MHz ","1140 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","43 GPixel/s","28m"
"1190 MHz ","1126 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","38 GPixel/s","28m"
"1190 MHz ","1126 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","38 GPixel/s","28m"
"1188 MHz ","1024 MHz","Nvidia","4096 MB ","128 Bit ","1653 MHz","76 GPixel/s","28m"
"1188 MHz ","1024 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","38 GPixel/s","28m"
"1110 MHz ","1058 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","71 GPixel/s","28m"
"1059 MHz ","993 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1085 MHz ","1046 MHz","Nvidia","2048 MB ","256 Bit ","1752 MHz","35 GPixel/s","28m"
"1405 MHz ","1203 MHz","Nvidia","2048 MB ","128 Bit ","1653 MHz","45 GPixel/s","28m"
"1176 MHz ","1111 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1110 MHz ","1058 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","36 GPixel/s","28m"
"1059 MHz ","993 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1150 MHz ","1085 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","37 GPixel/s","28m"
"1150 MHz ","1085 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","37 GPixel/s","28m"
"1176 MHz ","1111 MHz","Nvidia","2048 MB ","256 Bit ","1552 MHz","38 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","35 GPixel/s","28m"
"1124 MHz ","1072 MHz","Nvidia","2048 MB ","256 Bit ","1753 MHz","36 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","31 GPixel/s","28m"
"1176 MHz ","1111 MHz","Nvidia","4096 MB ","256 Bit ","1552 MHz","38 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","4096 MB ","256 Bit ","1550 MHz","36 GPixel/s","28m"
"1124 MHz ","1059 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1046 MHz ","1020 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1150 MHz ","1085 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","37 GPixel/s","28m"
"1163 MHz ","1111 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","37 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1150 MHz ","1085 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","37 GPixel/s","28m"
"1110 MHz ","1058 MHz","Nvidia","2048 MB ","256 Bit ","1753 MHz","36 GPixel/s","28m"
"1110 MHz ","1058 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1110 MHz ","1058 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1110 MHz ","1058 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","35 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","2048 MB ","256 Bit ","1550 MHz","36 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1059 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1176 MHz ","1111 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1176 MHz ","1111 MHz","Nvidia","2048 MB ","256 Bit ","1552 MHz","38 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1150 MHz ","1085 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","37 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","69 GPixel/s","28m"
"888 MHz ","823 MHz","Nvidia","3072 MB ","192 Bit ","1400 MHz","21 GPixel/s","28m"
"1150 MHz ","1085 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","37 GPixel/s","28m"
"888 MHz ","823 MHz","Nvidia","1536 MB ","192 Bit ","1400 MHz","21 GPixel/s","28m"
"1111 MHz ","1033 MHz","Nvidia","1024 MB ","128 Bit ","1250 MHz","18 GPixel/s","28m"
"1111 MHz ","1033 MHz","Nvidia","2048 MB ","128 Bit ","1250 MHz","18 GPixel/s","28m"
"1111 MHz ","1033 MHz","Nvidia","1024 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1320 MHz ","1229 MHz","Nvidia","2048 MB ","128 Bit ","1502 MHz","21 GPixel/s","28m"
"1032 MHz ","980 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1320 MHz ","1229 MHz","Nvidia","1024 MB ","128 Bit ","1350 MHz","21 GPixel/s","28m"
"1281 MHz ","1202 MHz","Nvidia","2048 MB ","128 Bit ","1502 MHz","20 GPixel/s","28m"
"1110 MHz ","1032 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1124 MHz ","1046 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1163 MHz ","1085 MHz","Nvidia","2048 MB ","128 Bit ","1375 MHz","19 GPixel/s","28m"
"1281 MHz ","1202 MHz","Nvidia","2048 MB ","128 Bit ","1502 MHz","20 GPixel/s","28m"
"1137 MHz ","1058 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1137 MHz ","1059 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1111 MHz ","1046 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","17 GPixel/s","28m"
"1150 MHz ","1072 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1242 MHz ","1163 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","20 GPixel/s","28m"
"1163 MHz ","1085 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","19 GPixel/s","28m"
"1137 MHz ","1059 MHz","Nvidia","4096 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1110 MHz ","1032 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1294 MHz ","1215 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","21 GPixel/s","28m"
"1111 MHz ","1032 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1110 MHz ","1032 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1150 MHz ","1072 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1189 MHz ","1110 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","19 GPixel/s","28m"
"1032 MHz ","980 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","66 GPixel/s","28m"
"1281 MHz ","1202 MHz","Nvidia","2048 MB ","128 Bit ","1502 MHz","20 GPixel/s","28m"
"1268 MHz ","1189 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","20 GPixel/s","28m"
"1255 MHz ","1176 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","20 GPixel/s","28m"
"1163 MHz ","1085 MHz","Nvidia","2048 MB ","128 Bit ","1375 MHz","19 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","17 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","17 GPixel/s","28m"
"1137 MHz ","1058 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","17 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","17 GPixel/s","28m"
"1163 MHz ","1085 MHz","Nvidia","1024 MB ","128 Bit ","1275 MHz","19 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","17 GPixel/s","28m"
"1150 MHz ","1072 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","18 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","1024 MB ","128 Bit ","1253 MHz","17 GPixel/s","28m"
"1202 MHz ","1124 MHz","Nvidia","2048 MB ","128 Bit ","1350 MHz","19 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1250 MHz","17 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1250 MHz","17 GPixel/s","28m"
"1137 MHz ","1059 MHz","Nvidia","2048 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1250 MHz","17 GPixel/s","28m"
"1163 MHz ","1085 MHz","Nvidia","2048 MB ","128 Bit ","1253 MHz","19 GPixel/s","28m"
"1137 MHz ","1059 MHz","Nvidia","1024 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
"1202 MHz ","1124 MHz","Nvidia","4096 MB ","128 Bit ","1350 MHz","19 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","2048 MB ","256 Bit ","1550 MHz","36 GPixel/s","28m"
"1137 MHz ","1058 MHz","Nvidia","1024 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
"1294 MHz ","1215 MHz","Nvidia","1024 MB ","128 Bit ","1253 MHz","21 GPixel/s","28m"
"1150 MHz ","1072 MHz","Nvidia","1024 MB ","128 Bit ","1250 MHz","18 GPixel/s","28m"
"1163 MHz ","1085 MHz","Nvidia","1024 MB ","128 Bit ","1253 MHz","19 GPixel/s","28m"
"1137 MHz ","1058 MHz","Nvidia","2048 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
"1294 MHz ","1215 MHz","Nvidia","2048 MB ","128 Bit ","1253 MHz","21 GPixel/s","28m"
"1163 MHz ","1085 MHz","Nvidia","1024 MB ","128 Bit ","1275 MHz","19 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1250 MHz","17 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","1024 MB ","128 Bit ","1250 MHz","17 GPixel/s","28m"
"1137 MHz ","1058 MHz","Nvidia","2048 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
"1137 MHz ","1058 MHz","Nvidia","1024 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
"1163 MHz ","1085 MHz","Nvidia","2048 MB ","128 Bit ","1275 MHz","19 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","128 Bit ","1250 MHz","17 GPixel/s","28m"
"1137 MHz ","1058 MHz","Nvidia","2048 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
